username,user_id,score,total,required_score,result
beenaidreak,1243239053391036416,3,3,2,passed
jarvis779,839509069769342998,3,3,2,passed
klaxsiix,894117027172712498,2,3,2,passed
agnes1891,1032583700266897422,1,3,2,failed
dejavu9580,875423052937166888,2,3,2,passed
michaellau,913084743220887593,3,3,2,passed
s_tranik,878851522547580928,2,3,2,passed
0xleon,367956381002760193,3,3,2,passed
mack_12,872841489334542437,3,3,2,passed
.mrjudge,703194194575097918,3,3,2,passed
danta231028,1248217420435427341,3,3,2,passed
hmd7ai,876022729386647563,3,3,2,passed
rexa302,894183226833260554,3,3,2,passed
bangihin,1015933703190487122,2,3,2,passed
.ahoyu,1014052385238286346,2,3,2,passed
medvejon0k,818833786791919656,3,3,2,passed
factsparade,930464061341179944,3,3,2,passed
.samanee,965018529428553768,3,3,2,passed
ftm0302,964951542199365642,3,3,2,passed
morphine96,1100151777518690417,3,3,2,passed
rezamahd3,792793774191280198,3,3,2,passed
saeidbz1,1102305578216329336,1,3,2,failed
bikas,619931064961466388,2,3,2,passed
mgha3mi,847367531621777418,2,3,2,passed
alireza4904,919642206506213447,1,3,2,failed
kadkhoda_hiresh,1088462224781217863,1,3,2,failed
hadbhr,915482470269480990,1,3,2,failed
chris1236,895039114104147978,3,3,2,passed
sirsl,624808350193811466,2,3,2,passed
dhextiny,1031308149803716729,2,3,2,passed
w1zar_d,1104122627162910821,3,3,2,passed
k11851,888535697076650045,1,25,25,failed
0xchrysolite,1161681145809874974,2,3,2,passed
dpfvm_elf,758639633332174869,1,3,2,failed
w1zar_d,1104122627162910821,21,25,25,failed
gorbako,939990645840425032,3,3,2,passed
k11851,888535697076650045,0,26,26,failed
e5962,801146017083949057,0,3,2,failed
k11851,888535697076650045,2,3,2,passed
sinascorpion,602124542424383510,1,3,2,failed
vexalus,436648205506052098,1,3,2,failed
.samy41,1089323966138687598,1,3,2,failed
mrcarter2020,1002225538510893076,2,3,2,passed
taiwo6006,1032264148412796968,3,3,2,passed
w1zar_d,1104122627162910821,24,25,25,failed
yawer008_58068,1270418999704031285,0,25,25,failed
w1zar_d,1104122627162910821,25,25,25,passed
hdm368358,998684964252024992,2,3,2,passed
hossein7491,998688543515869244,3,3,2,passed
cherry623,1071031195263062037,3,3,2,passed
sedloe,1010539418249084928,3,3,2,passed
vitya_77,861941652037435425,3,3,2,passed
x.rami,968758658517315585,1,3,2,failed
noob2711,1082540310804054016,3,3,2,passed
olajuwon_xx,1251693488605626391,2,3,2,passed
olajuwon_xx,1251693488605626391,0,25,25,failed
olajuwon_xx,1251693488605626391,25,25,25,passed
binhtranva,1202091784528986175,2,3,2,passed
mirage332,968062133214543944,2,3,2,passed
crypto.bionic,758665515328602163,12,30,30,failed
whiteraven42069,391295629411876864,2,3,2,passed
gigla001,1032242494659895296,3,3,2,passed
mylasthope,322446934633611264,3,3,2,passed
levanesku,991276661196718080,3,3,2,passed
eddie.btc,888744281655869480,1,3,2,failed
gigla001,1032242494659895296,29,29,29,passed
arash5994,1007774352495878194,1,3,2,failed
eli_802,1081469392832954442,3,3,2,passed
axelhowell4,1108297137780961290,3,3,2,passed
mylasthope,322446934633611264,29,29,29,passed
levanesku,991276661196718080,29,29,29,passed
oxvalox,1004445577989341204,3,3,2,passed
valtair_adanaan,1075497803901571182,3,3,2,passed
oxtenebris,1075509623974543442,3,3,2,passed
oxamire,1092071428318302298,3,3,2,passed
oxtrion,1099059852183081134,3,3,2,passed
moradi2233,1125716588159565916,3,3,2,passed
oxelinmond,1092148008000442420,3,3,2,passed
mamadrahimi221,1125723103536885780,3,3,2,passed
cusimallm1nh,754577883061551185,3,3,2,passed
.dung86,974963926301310986,3,3,2,passed
bobby3410,968097129967013930,2,3,2,passed
bodf._63468,1199275264434253846,3,3,2,passed
mosbat,895351946024718387,3,3,2,passed
fgsdd,899296517263863848,3,3,2,passed
myfrt_75818,1303695152958672950,3,3,2,passed
.liapa,1021733131662938132,3,3,2,passed
.dung86,974963926301310986,13,29,29,failed
anahita5043,956501296851091496,2,3,2,passed
westt121,826715462858440767,2,3,2,passed
zlyhkrn,1278585294651658302,3,3,2,passed
novasko,350776853948006411,3,3,2,passed
crescentina199,1153062278233608242,2,3,2,passed
kejan3612,1172065260904124478,3,3,2,passed
zohrehfakhri,855547325848879144,2,3,2,passed
mehran77,953045335654146109,3,3,2,passed
striker3594,807523559281786892,0,3,2,failed
loko02220,878547016626626561,1,3,2,failed
leylaz8644,878559658380517416,1,3,2,failed
neda9805,878585779381743677,1,3,2,failed
jinzo_unchained.,698160922069434428,0,3,2,failed
javad1877,881628470512324680,1,3,2,failed
0x_david_david,917697336178769950,3,3,2,passed
raymoney.,957577213870497792,0,3,2,failed
0xvaas,1264023129634766879,1,3,2,failed
maral272,917730312669237278,2,3,2,passed
.at2707,888175014766080021,1,3,2,failed
yanjuchen,1210953101264031755,3,3,2,passed
chiefdahunsi,830005527743561739,3,3,2,passed
taiwo6006,1032264148412796968,3,3,2,passed
0xleon,367956381002760193,3,3,2,passed
avinsmith,898575806614368268,2,3,2,passed
.mrjudge,703194194575097918,3,3,2,passed
papalalas,1082199336638746644,2,3,2,passed
.samanee,965018529428553768,3,3,2,passed
ftm0302,964951542199365642,3,3,2,passed
morphine96,1100151777518690417,3,3,2,passed
agnes1891,1032583700266897422,2,3,2,passed
dejavu9580,875423052937166888,3,3,2,passed
bangihin,1015933703190487122,3,3,2,passed
klaxsiix,894117027172712498,3,3,2,passed
behzadmori,838762057285107773,1,3,2,failed
0xbhrm,1221367977941667870,0,3,2,failed
miladmirzaie72,1076465407885574204,2,3,2,passed
miladkhan5572,1087508166859817011,2,3,2,passed
beenaidreak,1243239053391036416,3,3,2,passed
mrcarter2020,1002225538510893076,2,3,2,passed
oxvalox,1004445577989341204,3,3,2,passed
bikas,619931064961466388,2,3,2,passed
valtair_adanaan,1075497803901571182,3,3,2,passed
oxtenebris,1075509623974543442,3,3,2,passed
almaghadimi,1125725678160068668,3,3,2,passed
mamadrahimi221,1125723103536885780,3,3,2,passed
oxelinmond,1092148008000442420,3,3,2,passed
moradi2233,1125716588159565916,3,3,2,passed
oxtrion,1099059852183081134,3,3,2,passed
oxamire,1092071428318302298,3,3,2,passed
saeedaraghi,1170639228879765514,1,3,2,failed
saeedara23,965938014368981022,1,3,2,failed
kakao_s_molokom.,1031482255169830962,1,3,2,failed
.dung86,974963926301310986,3,3,2,passed
nhattung99,927612234442633357,2,3,2,passed
nhattung99,927612234442633357,23,25,25,failed
s_tranik,878851522547580928,3,3,2,passed
rexa302,894183226833260554,3,3,2,passed
nhattung99,927612234442633357,18,25,25,failed
hmd7ai,876022729386647563,3,3,2,passed
medvejon0k,818833786791919656,3,3,2,passed
sirsl,624808350193811466,2,3,2,passed
k11851,888535697076650045,2,3,2,passed
mora4,906584601277902908,2,3,2,passed
ozo3,757441598609948772,0,3,2,failed
vitya_77,861941652037435425,3,3,2,passed
mora4,906584601277902908,28,29,29,failed
w1zar_d,1104122627162910821,3,3,2,passed
factsparade,930464061341179944,3,3,2,passed
alireza4904,919642206506213447,1,3,2,failed
saeidbz1,1102305578216329336,1,3,2,failed
sedloe,1010539418249084928,3,3,2,passed
rezamahd3,792793774191280198,3,3,2,passed
jarvis779,839509069769342998,3,3,2,passed
hamil13,696699187030523934,3,3,2,passed
hamil13,696699187030523934,18,25,25,failed
javad1877,881628470512324680,2,3,2,passed
qprecious296,1110853542081736754,3,3,2,passed
kejan3612,1172065260904124478,3,3,2,passed
zlyhkrn,1278585294651658302,3,3,2,passed
hdm368358,998684964252024992,2,3,2,passed
hossein7491,998688543515869244,1,3,2,failed
eli_802,1081469392832954442,3,3,2,passed
axelhowell4,1108297137780961290,3,3,2,passed
eight_noise,747071285200420904,1,3,2,failed
mr.gooril,997431173523439616,3,3,2,passed
mr.panda3650,996015773258629160,3,3,2,passed
phongt15,1003195889881448453,2,3,2,passed
krnmuratcryptt,1172121675572187208,3,3,2,passed
shawny0045,1051946396535758929,0,3,2,failed
mirage332,968062133214543944,1,3,2,failed
noob2711,1082540310804054016,3,3,2,passed
yawer008_58068,1270418999704031285,0,25,25,failed
eddie.btc,888744281655869480,1,3,2,failed
mosbat,895351946024718387,0,3,2,failed
olajuwon_xx,1251693488605626391,1,3,2,failed
olajuwon_xx,1251693488605626391,20,26,26,failed
pva721991,1032274397152682024,1,3,2,failed
0xshibun,927259450073546842,3,3,2,passed
olajuwon_xx,1251693488605626391,0,26,26,failed
0x_david_david,917697336178769950,3,3,2,passed
olajuwon_xx,1251693488605626391,0,26,26,failed
olajuwon_xx,1251693488605626391,0,26,26,failed
olajuwon_xx,1251693488605626391,0,26,26,failed
olajuwon_xx,1251693488605626391,0,26,26,failed
olajuwon_xx,1251693488605626391,1,26,26,failed
olajuwon_xx,1251693488605626391,0,26,26,failed
alankeungz79,914660754832113677,22,25,25,failed
olajuwon_xx,1251693488605626391,24,26,26,failed
alankeungz79,914660754832113677,19,25,25,failed
alankeungz79,914660754832113677,0,25,25,failed
olajuwon_xx,1251693488605626391,0,26,26,failed
mack_12,872841489334542437,3,3,2,passed
danta231028,1248217420435427341,3,3,2,passed
bodf._63468,1199275264434253846,3,3,2,passed
olajuwon_xx,1251693488605626391,0,26,26,failed
olajuwon_xx,1251693488605626391,1,26,26,failed
jacki2605,910871831823679528,3,3,2,passed
opttf,945885240411435092,3,3,2,passed
