Discord ID,Post Count,Events Count,Total XP to Remove,Status
1351671985825906831,0,1,50,DRY RUN
1351720237371883610,0,1,50,DRY RUN
1351670948587114627,0,1,50,DRY RUN
1100616517718130729,0,1,50,DRY RUN
1351854928364306442,0,1,50,DRY RUN
1351722711424040980,0,1,50,DRY RUN
1351867919012986930,0,1,50,DRY RUN
1351684387875459072,0,1,50,DRY RUN
1351694121139568670,0,1,50,DRY RUN
1351909127743606916,0,1,50,DRY RUN
1371858797143789622,0,1,50,DRY RUN
1351687654546079787,0,1,50,DRY RUN
1351681960568819762,0,1,50,DRY RUN
1351639477692403812,0,1,50,DRY RUN
1351650246970839133,0,1,50,DRY RUN
1351932720527446099,0,1,50,DRY RUN
1351742053196763271,0,1,50,DRY RUN
1351643790225702912,0,1,50,DRY RUN
1351830976199917578,0,1,50,DRY RUN
1351865774087602288,0,1,50,DRY RUN
899858275439349821,0,1,50,DRY RUN
1351634708202782855,0,1,50,DRY RUN
1351731987169415178,0,1,50,DRY RUN
899871749313814601,0,1,50,DRY RUN
1351847409436856331,0,1,50,DRY RUN
899919228256256020,0,1,50,DRY RUN
1351920695789096996,0,1,50,DRY RUN
1351911313433034843,0,1,50,DRY RUN
899936018403311616,0,1,50,DRY RUN
1371838171234566255,0,1,50,DRY RUN
1351915535977283636,0,1,50,DRY RUN
1351899136961675316,0,1,50,DRY RUN
899950162338775080,0,1,50,DRY RUN
899957624412438548,0,1,50,DRY RUN
899961141223100486,0,1,50,DRY RUN
900198996251906088,0,1,50,DRY RUN
1351834227041112066,0,1,50,DRY RUN
900210001619058738,0,1,50,DRY RUN
1351842106183778346,0,1,50,DRY RUN
900216596688171048,0,1,50,DRY RUN
909632108358688798,0,1,50,DRY RUN
1371842929928179743,0,1,50,DRY RUN
909633887838273557,0,1,50,DRY RUN
909634744176767037,0,1,50,DRY RUN
909637580167995432,0,1,50,DRY RUN
1351707508250640406,0,1,50,DRY RUN
909639854860689408,0,1,50,DRY RUN
1351725606169219177,0,1,50,DRY RUN
909645053931188264,0,1,50,DRY RUN
909647141125910548,0,1,50,DRY RUN
909649071801786368,0,1,50,DRY RUN
909648170521346088,0,1,50,DRY RUN
1351775542634086451,0,1,50,DRY RUN
909653500038905866,0,1,50,DRY RUN
909658037483110421,0,1,50,DRY RUN
909657261759164486,0,1,50,DRY RUN
1351747563702980631,0,1,50,DRY RUN
1351657721421758614,0,1,50,DRY RUN
909685495246774272,0,1,50,DRY RUN
1351694396533510215,0,1,50,DRY RUN
1351835223461204028,0,1,50,DRY RUN
1351916115613192284,0,1,50,DRY RUN
1351777898347892779,0,1,50,DRY RUN
1351869247977951263,0,1,50,DRY RUN
912183414772367430,0,1,50,DRY RUN
1351822888897875968,0,1,50,DRY RUN
1351892013913604138,0,1,50,DRY RUN
1351777660820258917,0,1,50,DRY RUN
1351864593575706707,0,1,50,DRY RUN
1351898021729800287,0,1,50,DRY RUN
1351666376762200227,0,1,50,DRY RUN
1351876956081098775,0,1,50,DRY RUN
1351900604498186341,0,1,50,DRY RUN
1351909931246157865,0,1,50,DRY RUN
1351933437132410912,0,1,50,DRY RUN
1351866506299965471,0,1,50,DRY RUN
932813852410777661,0,1,50,DRY RUN
1351648242697375747,0,1,50,DRY RUN
1351681517494992937,0,1,50,DRY RUN
1351660095171465216,0,1,50,DRY RUN
1351705233100771358,0,1,50,DRY RUN
1238754423430189087,0,1,50,DRY RUN
1238732513816612875,0,1,50,DRY RUN
1238795929277042729,0,1,50,DRY RUN
1238783432272904223,0,1,50,DRY RUN
930354625025015879,0,1,50,DRY RUN
1238718996254294057,0,1,50,DRY RUN
1351695212006740029,0,1,50,DRY RUN
1351678897196109845,0,1,50,DRY RUN
1351662005983121480,0,1,50,DRY RUN
942696277366427660,0,1,50,DRY RUN
1351678277336432661,0,1,50,DRY RUN
1351642730480009308,0,1,50,DRY RUN
1351741597917777981,0,1,50,DRY RUN
978492666159443988,0,1,50,DRY RUN
1371866830158958763,0,1,50,DRY RUN
1351640183224926332,0,1,50,DRY RUN
1351655504556064808,0,1,50,DRY RUN
1351688408451252284,0,1,50,DRY RUN
1351874983080497182,0,1,50,DRY RUN
932440412776435733,0,1,50,DRY RUN
932442075209818143,0,1,50,DRY RUN
1351649727413878847,0,1,50,DRY RUN
979226440228814919,0,1,50,DRY RUN
932450430062043146,0,1,50,DRY RUN
1351859472565403721,0,1,50,DRY RUN
1351702731164749867,0,1,50,DRY RUN
1351696060388737101,0,1,50,DRY RUN
930272776806367253,0,1,50,DRY RUN
1351935857862639640,0,1,50,DRY RUN
1371877184209162394,0,1,50,DRY RUN
1351934814600691782,0,1,50,DRY RUN
1351734638258946159,0,1,50,DRY RUN
930286228400656454,0,1,50,DRY RUN
930286911640174592,0,1,50,DRY RUN
1351762263551246409,0,1,50,DRY RUN
1351718670212141177,0,1,50,DRY RUN
1351716255429820466,0,1,50,DRY RUN
1351757888980389938,0,1,50,DRY RUN
1351851972134961162,0,1,50,DRY RUN
1371864244806488144,0,1,50,DRY RUN
932529048343683102,0,1,50,DRY RUN
1351710349774164091,0,1,50,DRY RUN
932532333461012510,0,1,50,DRY RUN
1351937985825738782,0,1,50,DRY RUN
1351798449493770240,0,1,50,DRY RUN
1351777558131249242,0,1,50,DRY RUN
1351729324218122270,0,1,50,DRY RUN
1351743982710947882,0,1,50,DRY RUN
1371949740605968459,0,1,50,DRY RUN
932817182985953330,0,1,50,DRY RUN
1351620040562180096,0,1,50,DRY RUN
932820029517492265,0,1,50,DRY RUN
1351898418783715379,0,1,50,DRY RUN
1351789466997493760,0,1,50,DRY RUN
1351649481850097735,0,1,50,DRY RUN
1351678565111959552,0,1,50,DRY RUN
1351644758568603658,0,1,50,DRY RUN
1372021146786074627,0,1,50,DRY RUN
1351614835095240726,0,1,50,DRY RUN
1351641923433009224,0,1,50,DRY RUN
1351694048091570278,0,1,50,DRY RUN
932879667810140220,0,1,50,DRY RUN
1351668901641191537,0,1,50,DRY RUN
1371781590765539409,0,1,50,DRY RUN
932886758708871200,0,1,50,DRY RUN
1351832605149892683,0,1,50,DRY RUN
1351618533439705259,0,1,50,DRY RUN
1351836855682990150,0,1,50,DRY RUN
1351903674191970355,0,1,50,DRY RUN
1371836293830672435,0,1,50,DRY RUN
1351865616541290568,0,1,50,DRY RUN
1351675803301183630,0,1,50,DRY RUN
1351712026702905395,0,1,50,DRY RUN
1351734605971062784,0,1,50,DRY RUN
1225653573338271829,0,1,50,DRY RUN
1351648464311947274,0,1,50,DRY RUN
1351617753760399451,0,1,50,DRY RUN
1351888617550774313,0,1,50,DRY RUN
899479051968864256,0,1,50,DRY RUN
1351943708177731614,0,1,50,DRY RUN
1351850184023212064,0,1,50,DRY RUN
1351865172561625148,0,1,50,DRY RUN
1351765007112601671,0,1,50,DRY RUN
1351921837793214555,0,1,50,DRY RUN
1351736001789427722,0,1,50,DRY RUN
1351768361406697585,0,1,50,DRY RUN
1351930383763112021,0,1,50,DRY RUN
1351686508343590983,0,1,50,DRY RUN
1351643034814517359,0,1,50,DRY RUN
1351696282741248000,0,1,50,DRY RUN
1351844335154499620,0,1,50,DRY RUN
1351942770612240435,0,1,50,DRY RUN
1351717158257950720,0,1,50,DRY RUN
1351937178179076147,0,1,50,DRY RUN
1351945717681492079,0,1,50,DRY RUN
1351769207422845042,0,1,50,DRY RUN
1351955120128266423,0,1,50,DRY RUN
1351696680809926718,0,1,50,DRY RUN
1351898688393580567,0,1,50,DRY RUN
698160922069434428,1,5,45,DRY RUN
1202060210491891864,0,2,40,DRY RUN
1102305578216329336,0,4,40,DRY RUN
1317706053873434685,0,2,40,DRY RUN
1201206037206810745,1,2,40,DRY RUN
1321154941846421578,0,2,40,DRY RUN
1317375378343596063,0,2,40,DRY RUN
1317372624191619155,0,2,40,DRY RUN
1321114803741261824,0,2,40,DRY RUN
1321217345510838303,0,2,40,DRY RUN
1321060789062340690,0,2,40,DRY RUN
1317371094411509791,0,2,40,DRY RUN
1321114076377518263,0,2,40,DRY RUN
1318190654790307973,0,2,40,DRY RUN
1314348360161034312,0,2,40,DRY RUN
1313976768566263931,0,2,40,DRY RUN
1318679020644077708,0,2,40,DRY RUN
1321224006610714726,0,2,40,DRY RUN
1318754076225437787,0,2,40,DRY RUN
1321071110338383883,0,2,40,DRY RUN
1313056594443112449,0,2,40,DRY RUN
1318673819430289498,0,2,40,DRY RUN
1315974097880092767,0,2,40,DRY RUN
1318208644092924007,0,2,40,DRY RUN
1315954835543293984,0,2,40,DRY RUN
1313988721502060666,0,2,40,DRY RUN
1317369918005710881,0,2,40,DRY RUN
1318693628977221665,0,2,40,DRY RUN
1318796693470318592,0,2,40,DRY RUN
1321182070336127048,0,2,40,DRY RUN
1318069279588880467,0,2,40,DRY RUN
1321175514450235453,0,2,40,DRY RUN
1318810212596977741,0,2,40,DRY RUN
1318208526010679337,0,2,40,DRY RUN
1317552563196923957,0,2,40,DRY RUN
1317803321104273418,0,2,40,DRY RUN
1314135966096556085,0,2,40,DRY RUN
1318683166969696279,0,2,40,DRY RUN
1317375349197246516,0,2,40,DRY RUN
1321137464122937366,0,2,40,DRY RUN
1321054882572271669,0,2,40,DRY RUN
1314071173566300224,0,2,40,DRY RUN
1314225708700274870,0,2,40,DRY RUN
1314508261956784151,0,2,40,DRY RUN
1004806107165892681,0,2,40,DRY RUN
1004764421710692423,0,2,40,DRY RUN
1004786198524477570,0,2,40,DRY RUN
1004819846103580843,0,2,40,DRY RUN
1004638629550891089,0,2,40,DRY RUN
1157013222197563412,0,2,40,DRY RUN
1004817608794710096,0,2,40,DRY RUN
1004646976299745321,0,2,40,DRY RUN
1004652861411569666,0,2,40,DRY RUN
1155438770536067082,0,2,40,DRY RUN
1005477564552319077,0,2,40,DRY RUN
1073409165864734861,0,2,40,DRY RUN
1073283263147290697,0,2,40,DRY RUN
1005900414924886148,0,2,40,DRY RUN
1004835011821834332,0,2,40,DRY RUN
1005506322428612760,0,2,40,DRY RUN
1005512477682958367,0,2,40,DRY RUN
1005915977571123271,0,2,40,DRY RUN
1005518962039214130,0,2,40,DRY RUN
1005484563524493373,0,2,40,DRY RUN
1157559385237753938,0,2,40,DRY RUN
1073402333070905494,0,2,40,DRY RUN
1073308348537110549,0,2,40,DRY RUN
1073383635861901333,0,2,40,DRY RUN
1156796422633558036,0,2,40,DRY RUN
1073473816778506350,0,2,40,DRY RUN
1073420702595698728,0,2,40,DRY RUN
1073398926088081539,0,2,40,DRY RUN
1073296967918157974,0,2,40,DRY RUN
1157003705141428354,0,2,40,DRY RUN
1166957182575706157,0,2,40,DRY RUN
1156893710714417203,0,2,40,DRY RUN
1156893701105266698,0,2,40,DRY RUN
1156844764390502410,0,2,40,DRY RUN
1156805878608036000,0,2,40,DRY RUN
1156950746928005251,0,2,40,DRY RUN
1156935756259012608,0,2,40,DRY RUN
1157519089552609341,0,2,40,DRY RUN
1156856494143307796,0,2,40,DRY RUN
1156969622394896545,0,2,40,DRY RUN
1167041390534991936,0,2,40,DRY RUN
1167035047145111562,0,2,40,DRY RUN
1167069210342596708,0,2,40,DRY RUN
1166821096872484997,0,2,40,DRY RUN
1166862682692001824,0,2,40,DRY RUN
1166991614862958597,0,2,40,DRY RUN
1166858285073313823,0,2,40,DRY RUN
1166786604061437993,0,2,40,DRY RUN
1166938407654666292,0,2,40,DRY RUN
1167116918168227841,0,2,40,DRY RUN
1166827327469129729,0,2,40,DRY RUN
1167145967179546722,0,2,40,DRY RUN
1166810243913760870,0,2,40,DRY RUN
1167004201176543279,0,2,40,DRY RUN
1167014371151593483,0,2,40,DRY RUN
1167056830665601025,0,2,40,DRY RUN
1167063913758740623,0,2,40,DRY RUN
1166917195691982850,0,2,40,DRY RUN
1166950658608472197,0,2,40,DRY RUN
1166874838405759031,0,2,40,DRY RUN
